Month and year,State,Decedent,Sex,Age (yrs),Animal involved,Incident,Purposeful attack,Fatal,Provoked
3-Mar,IA,Cattle farmer,Male,77,Beef cattle,Struck by gate when cattle charged while being herded,No,Yes,No
4-Oct,IA,Cattle farmer,Male,48,Beef cattle,Pinned against barn wall while working with cattle,No,Yes,No
4-Nov,IA,Dairy farmer,Male,77,Dairy bull,Attacked from behind by bull when feeding dairy cows,Yes,Yes,No
5-Sep,IA,Veterinarian,Male,64,Beef bull,Attacked by bull when vaccinating and applying insecticide on cattle,Yes,Yes,No
5-Nov,IA,Cattle farmer,Male,65,Beef cattle,Crushed against barn door when sorting cattle,No,Yes,No
6-Apr,IA,Dairy farmer,Male,65,Dairy bull,Attacked by bull when herding cows for milking,Yes,Yes,No
6-Apr,IA,Dairy farmer,Male,63,Dairy bull,Attacked by bull while moving cows into milking parlor,Yes,Yes,No
7-Aug,IA,Cattle farmer,Male,45,Beef bull,Attacked by bull when alone in pasture,Yes,Yes,No
3-Apr,KS,Cattle farmer,Male,86,Beef calves,Knocked steel gate on top of himself while loading calves onto a trailer,No,Yes,No
5-Jul,KS,Cattle farmer,Male,74,Beef bull,Trampled by bull being moved from one pasture to another,Yes,Yes,No
3-Mar,MO,Cattle farmer,Male,71,Beef cows,Found fatally injured in pen with two cows and newborn calf,Yes,Yes,No
5-Feb,MO,Cattle farmer,Male,62,Beef cow,Kicked in head by cow,Yes,Yes,No
5-Aug,MO,Cattle farmer,Female,65,Beef cow,Attacked by cow when removing dead calf from pasture,Yes,Yes,No
5-Dec,MO,Cattle farmer,Male,53,Beef bull,Mauled by aggressive bull in pasture while retrieving cows,Yes,Yes,No
6-Jan,MO,Dairy farmer,Male,39,Dairy bull,Mauled and crushed against barn wall by bull while feeding cows,Yes,Yes,No
7-Sep,MO,Cattle farmer,Male,75,Beef bull,Gored while loading bull into trailer,Yes,Yes,No
8-Jan,MO,Cattle farmer,Male,72,Beef bull,Rammed by bull while feeding cattle,Yes,Yes,No
3-Mar,NE,Cattle farmer,Male,38,Beef cow,Injected with Micotil from syringe in his pocket when cow pushed him down,Yes,Yes,No
7-Mar,NE,Cattle farmer,Male,47,Beef cow,Crushed in pen when attacked by cow with calf,Yes,Yes,No
8-May,NE,Cattle farmer,Male,81,Beef cow,Attacked by cow while working in pen,Yes,Yes,No
8-Jun,NE,ChildÂ§,Male,8,Beef cattle,Crushed while moving cattle through squeeze chute,No,Yes,No